origin_port,destiny_port,twuenty,forty,fortyhc,fortynor,fortyfive
PTLEI,COCTG,0,0,0,0,0
ESVLC,AEJEA,0,0,0,0,0
ESTAR,DOHAI,1600,0,3200,0,0
ESTAR,CRPMN,1700,0,3400,0,0
HKHKG,ESBCN,6025,10950,11100,0,0
HKHKG,ESVLC,6025,10950,11100,0,0
HKHKG,ESALG,6025,10950,11100,0,0
HKHKG,ESGIJ,6025,10950,11100,0,0
HKHKG,ESVGO,6025,10950,11100,0,0
HKHKG,ESBIO,6025,10950,11100,0,0
HKHKG,ESAGP,6025,10950,11100,0,0
HKHKG,ESTAR,6025,10950,11100,0,0
HKHKG,ESLPA,6025,10950,11100,0,0
HKHKG,ESSCT,6025,10950,11100,0,0
HKHKG,ESCAR,6025,10950,11100,0,0
HKHKG,ESALC,6025,10950,11100,0,0
HKHKG,ESODB,6025,10950,11100,0,0
HKHKG,ESACE,6025,10950,11100,0,0
HKHKG,ESFUE,6025,10950,11100,0,0
HKHKG,ESSVQ,6025,10950,11100,0,0
CNSHK,ESBCN,6025,10950,11100,0,0
CNSHK,ESVLC,6025,10950,11100,0,0
CNSHK,ESALG,6025,10950,11100,0,0
CNSHK,ESGIJ,6025,10950,11100,0,0
CNSHK,ESVGO,6025,10950,11100,0,0
CNSHK,ESBIO,6025,10950,11100,0,0
CNSHK,ESAGP,6025,10950,11100,0,0
CNSHK,ESTAR,6025,10950,11100,0,0
CNSHK,ESLPA,6025,10950,11100,0,0
CNSHK,ESSCT,6025,10950,11100,0,0
CNSHK,ESCAR,6025,10950,11100,0,0
CNSHK,ESALC,6025,10950,11100,0,0
CNSHK,ESODB,6025,10950,11100,0,0
CNSHK,ESACE,6025,10950,11100,0,0
CNSHK,ESFUE,6025,10950,11100,0,0
CNSHK,ESSVQ,6025,10950,11100,0,0
CNYTN,ESBCN,6025,10950,11100,0,0
CNYTN,ESVLC,6025,10950,11100,0,0
CNYTN,ESALG,6025,10950,11100,0,0
CNYTN,ESGIJ,6025,10950,11100,0,0
CNYTN,ESVGO,6025,10950,11100,0,0
CNYTN,ESBIO,6025,10950,11100,0,0
CNYTN,ESAGP,6025,10950,11100,0,0
CNYTN,ESTAR,6025,10950,11100,0,0
CNYTN,ESLPA,6025,10950,11100,0,0
CNYTN,ESSCT,6025,10950,11100,0,0
CNYTN,ESCAR,6025,10950,11100,0,0
CNYTN,ESALC,6025,10950,11100,0,0
CNYTN,ESODB,6025,10950,11100,0,0
CNYTN,ESACE,6025,10950,11100,0,0
CNYTN,ESFUE,6025,10950,11100,0,0
CNYTN,ESSVQ,6025,10950,11100,0,0
CNNSA,ESBCN,6025,10950,11100,0,0
CNNSA,ESVLC,6025,10950,11100,0,0
CNNSA,ESALG,6025,10950,11100,0,0
CNNSA,ESGIJ,6025,10950,11100,0,0
CNNSA,ESVGO,6025,10950,11100,0,0
CNNSA,ESBIO,6025,10950,11100,0,0
CNNSA,ESAGP,6025,10950,11100,0,0
CNNSA,ESTAR,6025,10950,11100,0,0
CNNSA,ESLPA,6025,10950,11100,0,0
CNNSA,ESSCT,6025,10950,11100,0,0
CNNSA,ESCAR,6025,10950,11100,0,0
CNNSA,ESALC,6025,10950,11100,0,0
CNNSA,ESODB,6025,10950,11100,0,0
CNNSA,ESACE,6025,10950,11100,0,0
CNNSA,ESFUE,6025,10950,11100,0,0
CNNSA,ESSVQ,6025,10950,11100,0,0
CNSTG,ESBCN,6300,11500,11650,0,0
CNSTG,ESVLC,6300,11500,11650,0,0
CNSTG,ESALG,6300,11500,11650,0,0
CNSTG,ESGIJ,6300,11500,11650,0,0
CNSTG,ESVGO,6300,11500,11650,0,0
CNSTG,ESBIO,6300,11500,11650,0,0
CNSTG,ESAGP,6300,11500,11650,0,0
CNSTG,ESTAR,6300,11500,11650,0,0
CNSTG,ESLPA,6300,11500,11650,0,0
CNSTG,ESSCT,6300,11500,11650,0,0
CNSTG,ESCAR,6300,11500,11650,0,0
CNSTG,ESALC,6300,11500,11650,0,0
CNSTG,ESODB,6300,11500,11650,0,0
CNSTG,ESACE,6300,11500,11650,0,0
CNSTG,ESFUE,6300,11500,11650,0,0
CNSTG,ESSVQ,6300,11500,11650,0,0
CNQZH,ESBCN,6300,11500,11650,0,0
CNQZH,ESVLC,6300,11500,11650,0,0
CNQZH,ESALG,6300,11500,11650,0,0
CNQZH,ESGIJ,6300,11500,11650,0,0
CNQZH,ESVGO,6300,11500,11650,0,0
CNQZH,ESBIO,6300,11500,11650,0,0
CNQZH,ESAGP,6300,11500,11650,0,0
CNQZH,ESTAR,6300,11500,11650,0,0
CNQZH,ESLPA,6300,11500,11650,0,0
CNQZH,ESSCT,6300,11500,11650,0,0
CNQZH,ESCAR,6300,11500,11650,0,0
CNQZH,ESALC,6300,11500,11650,0,0
CNQZH,ESODB,6300,11500,11650,0,0
CNQZH,ESACE,6300,11500,11650,0,0
CNQZH,ESFUE,6300,11500,11650,0,0
CNQZH,ESSVQ,6300,11500,11650,0,0
CNXMN,ESBCN,6025,10950,11100,0,0
CNXMN,ESVLC,6025,10950,11100,0,0
CNXMN,ESALG,6025,10950,11100,0,0
CNXMN,ESGIJ,6025,10950,11100,0,0
CNXMN,ESVGO,6025,10950,11100,0,0
CNXMN,ESBIO,6025,10950,11100,0,0
CNXMN,ESAGP,6025,10950,11100,0,0
CNXMN,ESTAR,6025,10950,11100,0,0
CNXMN,ESLPA,6025,10950,11100,0,0
CNXMN,ESSCT,6025,10950,11100,0,0
CNXMN,ESCAR,6025,10950,11100,0,0
CNXMN,ESALC,6025,10950,11100,0,0
CNXMN,ESODB,6025,10950,11100,0,0
CNXMN,ESACE,6025,10950,11100,0,0
CNXMN,ESFUE,6025,10950,11100,0,0
CNXMN,ESSVQ,6025,10950,11100,0,0
CNFOC,ESBCN,6300,11500,11650,0,0
CNFOC,ESVLC,6300,11500,11650,0,0
CNFOC,ESALG,6300,11500,11650,0,0
CNFOC,ESGIJ,6300,11500,11650,0,0
CNFOC,ESVGO,6300,11500,11650,0,0
CNFOC,ESBIO,6300,11500,11650,0,0
CNFOC,ESAGP,6300,11500,11650,0,0
CNFOC,ESTAR,6300,11500,11650,0,0
CNFOC,ESLPA,6300,11500,11650,0,0
CNFOC,ESSCT,6300,11500,11650,0,0
CNFOC,ESCAR,6300,11500,11650,0,0
CNFOC,ESALC,6300,11500,11650,0,0
CNFOC,ESODB,6300,11500,11650,0,0
CNFOC,ESACE,6300,11500,11650,0,0
CNFOC,ESFUE,6300,11500,11650,0,0
CNFOC,ESSVQ,6300,11500,11650,0,0
CNSHA,ESBCN,6025,10950,11100,0,0
CNSHA,ESVLC,6025,10950,11100,0,0
CNSHA,ESALG,6025,10950,11100,0,0
CNSHA,ESGIJ,6025,10950,11100,0,0
CNSHA,ESVGO,6025,10950,11100,0,0
CNSHA,ESBIO,6025,10950,11100,0,0
CNSHA,ESAGP,6025,10950,11100,0,0
CNSHA,ESTAR,6025,10950,11100,0,0
CNSHA,ESLPA,6025,10950,11100,0,0
CNSHA,ESSCT,6025,10950,11100,0,0
CNSHA,ESCAR,6025,10950,11100,0,0
CNSHA,ESALC,6025,10950,11100,0,0
CNSHA,ESODB,6025,10950,11100,0,0
CNSHA,ESACE,6025,10950,11100,0,0
CNSHA,ESFUE,6025,10950,11100,0,0
CNSHA,ESSVQ,6025,10950,11100,0,0
CNNGB,ESBCN,6025,10950,11100,0,0
CNNGB,ESVLC,6025,10950,11100,0,0
CNNGB,ESALG,6025,10950,11100,0,0
CNNGB,ESGIJ,6025,10950,11100,0,0
CNNGB,ESVGO,6025,10950,11100,0,0
CNNGB,ESBIO,6025,10950,11100,0,0
CNNGB,ESAGP,6025,10950,11100,0,0
CNNGB,ESTAR,6025,10950,11100,0,0
CNNGB,ESLPA,6025,10950,11100,0,0
CNNGB,ESSCT,6025,10950,11100,0,0
CNNGB,ESCAR,6025,10950,11100,0,0
CNNGB,ESALC,6025,10950,11100,0,0
CNNGB,ESODB,6025,10950,11100,0,0
CNNGB,ESACE,6025,10950,11100,0,0
CNNGB,ESFUE,6025,10950,11100,0,0
CNNGB,ESSVQ,6025,10950,11100,0,0
CNTAO,ESBCN,6025,10950,11100,0,0
CNTAO,ESVLC,6025,10950,11100,0,0
CNTAO,ESALG,6025,10950,11100,0,0
CNTAO,ESGIJ,6025,10950,11100,0,0
CNTAO,ESVGO,6025,10950,11100,0,0
CNTAO,ESBIO,6025,10950,11100,0,0
CNTAO,ESAGP,6025,10950,11100,0,0
CNTAO,ESTAR,6025,10950,11100,0,0
CNTAO,ESLPA,6025,10950,11100,0,0
CNTAO,ESSCT,6025,10950,11100,0,0
CNTAO,ESCAR,6025,10950,11100,0,0
CNTAO,ESALC,6025,10950,11100,0,0
CNTAO,ESODB,6025,10950,11100,0,0
CNTAO,ESACE,6025,10950,11100,0,0
CNTAO,ESFUE,6025,10950,11100,0,0
CNTAO,ESSVQ,6025,10950,11100,0,0
CNTXG,ESBCN,6025,10950,11100,0,0
CNTXG,ESVLC,6025,10950,11100,0,0
CNTXG,ESALG,6025,10950,11100,0,0
CNTXG,ESGIJ,6025,10950,11100,0,0
CNTXG,ESVGO,6025,10950,11100,0,0
CNTXG,ESBIO,6025,10950,11100,0,0
CNTXG,ESAGP,6025,10950,11100,0,0
CNTXG,ESTAR,6025,10950,11100,0,0
CNTXG,ESLPA,6025,10950,11100,0,0
CNTXG,ESSCT,6025,10950,11100,0,0
CNTXG,ESCAR,6025,10950,11100,0,0
CNTXG,ESALC,6025,10950,11100,0,0
CNTXG,ESODB,6025,10950,11100,0,0
CNTXG,ESACE,6025,10950,11100,0,0
CNTXG,ESFUE,6025,10950,11100,0,0
CNTXG,ESSVQ,6025,10950,11100,0,0
CNDLC,ESBCN,6025,10950,11100,0,0
CNDLC,ESVLC,6025,10950,11100,0,0
CNDLC,ESALG,6025,10950,11100,0,0
CNDLC,ESGIJ,6025,10950,11100,0,0
CNDLC,ESVGO,6025,10950,11100,0,0
CNDLC,ESBIO,6025,10950,11100,0,0
CNDLC,ESAGP,6025,10950,11100,0,0
CNDLC,ESTAR,6025,10950,11100,0,0
CNDLC,ESLPA,6025,10950,11100,0,0
CNDLC,ESSCT,6025,10950,11100,0,0
CNDLC,ESCAR,6025,10950,11100,0,0
CNDLC,ESALC,6025,10950,11100,0,0
CNDLC,ESODB,6025,10950,11100,0,0
CNDLC,ESACE,6025,10950,11100,0,0
CNDLC,ESFUE,6025,10950,11100,0,0
CNDLC,ESSVQ,6025,10950,11100,0,0
MYPGU,ESBCN,6300,11500,11650,0,0
MYPGU,ESVLC,6300,11500,11650,0,0
MYPGU,ESALG,6300,11500,11650,0,0
MYPGU,ESGIJ,6300,11500,11650,0,0
MYPGU,ESVGO,6300,11500,11650,0,0
MYPGU,ESBIO,6300,11500,11650,0,0
MYPGU,ESAGP,6300,11500,11650,0,0
MYPGU,ESTAR,6300,11500,11650,0,0
MYPGU,ESLPA,6300,11500,11650,0,0
MYPGU,ESSCT,6300,11500,11650,0,0
MYPGU,ESCAR,6300,11500,11650,0,0
MYPGU,ESALC,6300,11500,11650,0,0
MYPGU,ESODB,6300,11500,11650,0,0
MYPGU,ESACE,6300,11500,11650,0,0
MYPGU,ESFUE,6300,11500,11650,0,0
MYPGU,ESSVQ,6300,11500,11650,0,0
MYPEN,ESBCN,6300,11500,11650,0,0
MYPEN,ESVLC,6300,11500,11650,0,0
MYPEN,ESALG,6300,11500,11650,0,0
MYPEN,ESGIJ,6300,11500,11650,0,0
MYPEN,ESVGO,6300,11500,11650,0,0
MYPEN,ESBIO,6300,11500,11650,0,0
MYPEN,ESAGP,6300,11500,11650,0,0
MYPEN,ESTAR,6300,11500,11650,0,0
MYPEN,ESLPA,6300,11500,11650,0,0
MYPEN,ESSCT,6300,11500,11650,0,0
MYPEN,ESCAR,6300,11500,11650,0,0
MYPEN,ESALC,6300,11500,11650,0,0
MYPEN,ESODB,6300,11500,11650,0,0
MYPEN,ESACE,6300,11500,11650,0,0
MYPEN,ESFUE,6300,11500,11650,0,0
MYPEN,ESSVQ,6300,11500,11650,0,0
MYPKG,ESBCN,6300,11500,11650,0,0
MYPKG,ESVLC,6300,11500,11650,0,0
MYPKG,ESALG,6300,11500,11650,0,0
MYPKG,ESGIJ,6300,11500,11650,0,0
MYPKG,ESVGO,6300,11500,11650,0,0
MYPKG,ESBIO,6300,11500,11650,0,0
MYPKG,ESAGP,6300,11500,11650,0,0
MYPKG,ESTAR,6300,11500,11650,0,0
MYPKG,ESLPA,6300,11500,11650,0,0
MYPKG,ESSCT,6300,11500,11650,0,0
MYPKG,ESCAR,6300,11500,11650,0,0
MYPKG,ESALC,6300,11500,11650,0,0
MYPKG,ESODB,6300,11500,11650,0,0
MYPKG,ESACE,6300,11500,11650,0,0
MYPKG,ESFUE,6300,11500,11650,0,0
MYPKG,ESSVQ,6300,11500,11650,0,0
MYTPP,ESBCN,6300,11500,11650,0,0
MYTPP,ESVLC,6300,11500,11650,0,0
MYTPP,ESALG,6300,11500,11650,0,0
MYTPP,ESGIJ,6300,11500,11650,0,0
MYTPP,ESVGO,6300,11500,11650,0,0
MYTPP,ESBIO,6300,11500,11650,0,0
MYTPP,ESAGP,6300,11500,11650,0,0
MYTPP,ESTAR,6300,11500,11650,0,0
MYTPP,ESLPA,6300,11500,11650,0,0
MYTPP,ESSCT,6300,11500,11650,0,0
MYTPP,ESCAR,6300,11500,11650,0,0
MYTPP,ESALC,6300,11500,11650,0,0
MYTPP,ESODB,6300,11500,11650,0,0
MYTPP,ESACE,6300,11500,11650,0,0
MYTPP,ESFUE,6300,11500,11650,0,0
MYTPP,ESSVQ,6300,11500,11650,0,0
IDBLW,ESBCN,6325,11550,11700,0,0
IDBLW,ESVLC,6325,11550,11700,0,0
IDBLW,ESALG,6325,11550,11700,0,0
IDBLW,ESGIJ,6325,11550,11700,0,0
IDBLW,ESVGO,6325,11550,11700,0,0
IDBLW,ESBIO,6325,11550,11700,0,0
IDBLW,ESAGP,6325,11550,11700,0,0
IDBLW,ESTAR,6325,11550,11700,0,0
IDBLW,ESLPA,6325,11550,11700,0,0
IDBLW,ESSCT,6325,11550,11700,0,0
IDBLW,ESCAR,6325,11550,11700,0,0
IDBLW,ESALC,6325,11550,11700,0,0
IDBLW,ESODB,6325,11550,11700,0,0
IDBLW,ESACE,6325,11550,11700,0,0
IDBLW,ESFUE,6325,11550,11700,0,0
IDBLW,ESSVQ,6325,11550,11700,0,0
IDJKT,ESBCN,6325,11550,11700,0,0
IDJKT,ESVLC,6325,11550,11700,0,0
IDJKT,ESALG,6325,11550,11700,0,0
IDJKT,ESGIJ,6325,11550,11700,0,0
IDJKT,ESVGO,6325,11550,11700,0,0
IDJKT,ESBIO,6325,11550,11700,0,0
IDJKT,ESAGP,6325,11550,11700,0,0
IDJKT,ESTAR,6325,11550,11700,0,0
IDJKT,ESLPA,6325,11550,11700,0,0
IDJKT,ESSCT,6325,11550,11700,0,0
IDJKT,ESCAR,6325,11550,11700,0,0
IDJKT,ESALC,6325,11550,11700,0,0
IDJKT,ESODB,6325,11550,11700,0,0
IDJKT,ESACE,6325,11550,11700,0,0
IDJKT,ESFUE,6325,11550,11700,0,0
IDJKT,ESSVQ,6325,11550,11700,0,0
IDSRG,ESBCN,6325,11550,11700,0,0
IDSRG,ESVLC,6325,11550,11700,0,0
IDSRG,ESALG,6325,11550,11700,0,0
IDSRG,ESGIJ,6325,11550,11700,0,0
IDSRG,ESVGO,6325,11550,11700,0,0
IDSRG,ESBIO,6325,11550,11700,0,0
IDSRG,ESAGP,6325,11550,11700,0,0
IDSRG,ESTAR,6325,11550,11700,0,0
IDSRG,ESLPA,6325,11550,11700,0,0
IDSRG,ESSCT,6325,11550,11700,0,0
IDSRG,ESCAR,6325,11550,11700,0,0
IDSRG,ESALC,6325,11550,11700,0,0
IDSRG,ESODB,6325,11550,11700,0,0
IDSRG,ESACE,6325,11550,11700,0,0
IDSRG,ESFUE,6325,11550,11700,0,0
IDSRG,ESSVQ,6325,11550,11700,0,0
IDPNJ,ESBCN,6325,11550,11700,0,0
IDPNJ,ESVLC,6325,11550,11700,0,0
IDPNJ,ESALG,6325,11550,11700,0,0
IDPNJ,ESGIJ,6325,11550,11700,0,0
IDPNJ,ESVGO,6325,11550,11700,0,0
IDPNJ,ESBIO,6325,11550,11700,0,0
IDPNJ,ESAGP,6325,11550,11700,0,0
IDPNJ,ESTAR,6325,11550,11700,0,0
IDPNJ,ESLPA,6325,11550,11700,0,0
IDPNJ,ESSCT,6325,11550,11700,0,0
IDPNJ,ESCAR,6325,11550,11700,0,0
IDPNJ,ESALC,6325,11550,11700,0,0
IDPNJ,ESODB,6325,11550,11700,0,0
IDPNJ,ESACE,6325,11550,11700,0,0
IDPNJ,ESFUE,6325,11550,11700,0,0
IDPNJ,ESSVQ,6325,11550,11700,0,0
IDSUB,ESBCN,6325,11550,11700,0,0
IDSUB,ESVLC,6325,11550,11700,0,0
IDSUB,ESALG,6325,11550,11700,0,0
IDSUB,ESGIJ,6325,11550,11700,0,0
IDSUB,ESVGO,6325,11550,11700,0,0
IDSUB,ESBIO,6325,11550,11700,0,0
IDSUB,ESAGP,6325,11550,11700,0,0
IDSUB,ESTAR,6325,11550,11700,0,0
IDSUB,ESLPA,6325,11550,11700,0,0
IDSUB,ESSCT,6325,11550,11700,0,0
IDSUB,ESCAR,6325,11550,11700,0,0
IDSUB,ESALC,6325,11550,11700,0,0
IDSUB,ESODB,6325,11550,11700,0,0
IDSUB,ESACE,6325,11550,11700,0,0
IDSUB,ESFUE,6325,11550,11700,0,0
IDSUB,ESSVQ,6325,11550,11700,0,0
THLCH,ESBCN,6285,11470,11620,0,0
THLCH,ESVLC,6285,11470,11620,0,0
THLCH,ESALG,6285,11470,11620,0,0
THLCH,ESGIJ,6285,11470,11620,0,0
THLCH,ESVGO,6285,11470,11620,0,0
THLCH,ESBIO,6285,11470,11620,0,0
THLCH,ESAGP,6285,11470,11620,0,0
THLCH,ESTAR,6285,11470,11620,0,0
THLCH,ESLPA,6285,11470,11620,0,0
THLCH,ESSCT,6285,11470,11620,0,0
THLCH,ESCAR,6285,11470,11620,0,0
THLCH,ESALC,6285,11470,11620,0,0
THLCH,ESODB,6285,11470,11620,0,0
THLCH,ESACE,6285,11470,11620,0,0
THLCH,ESFUE,6285,11470,11620,0,0
THLCH,ESSVQ,6285,11470,11620,0,0
THSGZ,ESBCN,6375,11650,11800,0,0
THSGZ,ESVLC,6375,11650,11800,0,0
THSGZ,ESALG,6375,11650,11800,0,0
THSGZ,ESGIJ,6375,11650,11800,0,0
THSGZ,ESVGO,6375,11650,11800,0,0
THSGZ,ESBIO,6375,11650,11800,0,0
THSGZ,ESAGP,6375,11650,11800,0,0
THSGZ,ESTAR,6375,11650,11800,0,0
THSGZ,ESLPA,6375,11650,11800,0,0
THSGZ,ESSCT,6375,11650,11800,0,0
THSGZ,ESCAR,6375,11650,11800,0,0
THSGZ,ESALC,6375,11650,11800,0,0
THSGZ,ESODB,6375,11650,11800,0,0
THSGZ,ESACE,6375,11650,11800,0,0
THSGZ,ESFUE,6375,11650,11800,0,0
THSGZ,ESSVQ,6375,11650,11800,0,0
VNHPH,ESBCN,6300,11500,11650,0,0
VNHPH,ESVLC,6300,11500,11650,0,0
VNHPH,ESALG,6300,11500,11650,0,0
VNHPH,ESGIJ,6300,11500,11650,0,0
VNHPH,ESVGO,6300,11500,11650,0,0
VNHPH,ESBIO,6300,11500,11650,0,0
VNHPH,ESAGP,6300,11500,11650,0,0
VNHPH,ESTAR,6300,11500,11650,0,0
VNHPH,ESLPA,6300,11500,11650,0,0
VNHPH,ESSCT,6300,11500,11650,0,0
VNHPH,ESCAR,6300,11500,11650,0,0
VNHPH,ESALC,6300,11500,11650,0,0
VNHPH,ESODB,6300,11500,11650,0,0
VNHPH,ESACE,6300,11500,11650,0,0
VNHPH,ESFUE,6300,11500,11650,0,0
VNHPH,ESSVQ,6300,11500,11650,0,0
VNVUT,ESBCN,6275,11450,11600,0,0
VNVUT,ESVLC,6275,11450,11600,0,0
VNVUT,ESALG,6275,11450,11600,0,0
VNVUT,ESGIJ,6275,11450,11600,0,0
VNVUT,ESVGO,6275,11450,11600,0,0
VNVUT,ESBIO,6275,11450,11600,0,0
VNVUT,ESAGP,6275,11450,11600,0,0
VNVUT,ESTAR,6275,11450,11600,0,0
VNVUT,ESLPA,6275,11450,11600,0,0
VNVUT,ESSCT,6275,11450,11600,0,0
VNVUT,ESCAR,6275,11450,11600,0,0
VNVUT,ESALC,6275,11450,11600,0,0
VNVUT,ESODB,6275,11450,11600,0,0
VNVUT,ESACE,6275,11450,11600,0,0
VNVUT,ESFUE,6275,11450,11600,0,0
VNVUT,ESSVQ,6275,11450,11600,0,0
VNUIH,ESBCN,6275,11450,11600,0,0
VNUIH,ESVLC,6275,11450,11600,0,0
VNUIH,ESALG,6275,11450,11600,0,0
VNUIH,ESGIJ,6275,11450,11600,0,0
VNUIH,ESVGO,6275,11450,11600,0,0
VNUIH,ESBIO,6275,11450,11600,0,0
VNUIH,ESAGP,6275,11450,11600,0,0
VNUIH,ESTAR,6275,11450,11600,0,0
VNUIH,ESLPA,6275,11450,11600,0,0
VNUIH,ESSCT,6275,11450,11600,0,0
VNUIH,ESCAR,6275,11450,11600,0,0
VNUIH,ESALC,6275,11450,11600,0,0
VNUIH,ESODB,6275,11450,11600,0,0
VNUIH,ESACE,6275,11450,11600,0,0
VNUIH,ESFUE,6275,11450,11600,0,0
VNUIH,ESSVQ,6275,11450,11600,0,0
VNDAD,ESBCN,6275,11450,11600,0,0
VNDAD,ESVLC,6275,11450,11600,0,0
VNDAD,ESALG,6275,11450,11600,0,0
VNDAD,ESGIJ,6275,11450,11600,0,0
VNDAD,ESVGO,6275,11450,11600,0,0
VNDAD,ESBIO,6275,11450,11600,0,0
VNDAD,ESAGP,6275,11450,11600,0,0
VNDAD,ESTAR,6275,11450,11600,0,0
VNDAD,ESLPA,6275,11450,11600,0,0
VNDAD,ESSCT,6275,11450,11600,0,0
VNDAD,ESCAR,6275,11450,11600,0,0
VNDAD,ESALC,6275,11450,11600,0,0
VNDAD,ESODB,6275,11450,11600,0,0
VNDAD,ESACE,6275,11450,11600,0,0
VNDAD,ESFUE,6275,11450,11600,0,0
VNDAD,ESSVQ,6275,11450,11600,0,0
KHPNH,ESBCN,6300,11500,11650,0,0
KHPNH,ESVLC,6300,11500,11650,0,0
KHPNH,ESALG,6300,11500,11650,0,0
KHPNH,ESGIJ,6300,11500,11650,0,0
KHPNH,ESVGO,6300,11500,11650,0,0
KHPNH,ESBIO,6300,11500,11650,0,0
KHPNH,ESAGP,6300,11500,11650,0,0
KHPNH,ESTAR,6300,11500,11650,0,0
KHPNH,ESLPA,6300,11500,11650,0,0
KHPNH,ESSCT,6300,11500,11650,0,0
KHPNH,ESCAR,6300,11500,11650,0,0
KHPNH,ESALC,6300,11500,11650,0,0
KHPNH,ESODB,6300,11500,11650,0,0
KHPNH,ESACE,6300,11500,11650,0,0
KHPNH,ESFUE,6300,11500,11650,0,0
KHPNH,ESSVQ,6300,11500,11650,0,0
KHKOS,ESBCN,6625,12050,12200,0,0
KHKOS,ESVLC,6625,12050,12200,0,0
KHKOS,ESALG,6625,12050,12200,0,0
KHKOS,ESGIJ,6625,12050,12200,0,0
KHKOS,ESVGO,6625,12050,12200,0,0
KHKOS,ESBIO,6625,12050,12200,0,0
KHKOS,ESAGP,6625,12050,12200,0,0
KHKOS,ESTAR,6625,12050,12200,0,0
KHKOS,ESLPA,6625,12050,12200,0,0
KHKOS,ESSCT,6625,12050,12200,0,0
KHKOS,ESCAR,6625,12050,12200,0,0
KHKOS,ESALC,6625,12050,12200,0,0
KHKOS,ESODB,6625,12050,12200,0,0
KHKOS,ESACE,6625,12050,12200,0,0
KHKOS,ESFUE,6625,12050,12200,0,0
KHKOS,ESSVQ,6625,12050,12200,0,0
MMRGN,ESBCN,7125,13150,13300,0,0
MMRGN,ESVLC,7125,13150,13300,0,0
MMRGN,ESALG,7125,13150,13300,0,0
MMRGN,ESGIJ,7125,13150,13300,0,0
MMRGN,ESVGO,7125,13150,13300,0,0
MMRGN,ESBIO,7125,13150,13300,0,0
MMRGN,ESAGP,7125,13150,13300,0,0
MMRGN,ESTAR,7125,13150,13300,0,0
MMRGN,ESLPA,7125,13150,13300,0,0
MMRGN,ESSCT,7125,13150,13300,0,0
MMRGN,ESCAR,7125,13150,13300,0,0
MMRGN,ESALC,7125,13150,13300,0,0
MMRGN,ESODB,7125,13150,13300,0,0
MMRGN,ESACE,7125,13150,13300,0,0
MMRGN,ESFUE,7125,13150,13300,0,0
MMRGN,ESSVQ,7125,13150,13300,0,0
PHMNL,ESBCN,6325,11550,11700,0,0
PHMNL,ESVLC,6325,11550,11700,0,0
PHMNL,ESALG,6325,11550,11700,0,0
PHMNL,ESGIJ,6325,11550,11700,0,0
PHMNL,ESVGO,6325,11550,11700,0,0
PHMNL,ESBIO,6325,11550,11700,0,0
PHMNL,ESAGP,6325,11550,11700,0,0
PHMNL,ESTAR,6325,11550,11700,0,0
PHMNL,ESLPA,6325,11550,11700,0,0
PHMNL,ESSCT,6325,11550,11700,0,0
PHMNL,ESCAR,6325,11550,11700,0,0
PHMNL,ESALC,6325,11550,11700,0,0
PHMNL,ESODB,6325,11550,11700,0,0
PHMNL,ESACE,6325,11550,11700,0,0
PHMNL,ESFUE,6325,11550,11700,0,0
PHMNL,ESSVQ,6325,11550,11700,0,0
KRPUS,ESBCN,6025,10950,11100,0,0
KRPUS,ESVLC,6025,10950,11100,0,0
KRPUS,ESALG,6025,10950,11100,0,0
KRPUS,ESGIJ,6025,10950,11100,0,0
KRPUS,ESVGO,6025,10950,11100,0,0
KRPUS,ESBIO,6025,10950,11100,0,0
KRPUS,ESAGP,6025,10950,11100,0,0
KRPUS,ESTAR,6025,10950,11100,0,0
KRPUS,ESLPA,6025,10950,11100,0,0
KRPUS,ESSCT,6025,10950,11100,0,0
KRPUS,ESCAR,6025,10950,11100,0,0
KRPUS,ESALC,6025,10950,11100,0,0
KRPUS,ESODB,6025,10950,11100,0,0
KRPUS,ESACE,6025,10950,11100,0,0
KRPUS,ESFUE,6025,10950,11100,0,0
KRPUS,ESSVQ,6025,10950,11100,0,0
KRKAN,ESBCN,6225,11350,11500,0,0
KRKAN,ESVLC,6225,11350,11500,0,0
KRKAN,ESALG,6225,11350,11500,0,0
KRKAN,ESGIJ,6225,11350,11500,0,0
KRKAN,ESVGO,6225,11350,11500,0,0
KRKAN,ESBIO,6225,11350,11500,0,0
KRKAN,ESAGP,6225,11350,11500,0,0
KRKAN,ESTAR,6225,11350,11500,0,0
KRKAN,ESLPA,6225,11350,11500,0,0
KRKAN,ESSCT,6225,11350,11500,0,0
KRKAN,ESCAR,6225,11350,11500,0,0
KRKAN,ESALC,6225,11350,11500,0,0
KRKAN,ESODB,6225,11350,11500,0,0
KRKAN,ESACE,6225,11350,11500,0,0
